id,title_orig,path,reason
8271,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 4 1080 AI\Scrubs S04E04 My First Kill.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8272,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 4 1080 AI\Scrubs S04E05 Her Story.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8274,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 4 1080 AI\Scrubs S04E07 My Common Enemy.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8277,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 4 1080 AI\Scrubs S04E10 My Female Trouble.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8293,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8295,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI\Scrubs S05E02 My Rite of Passage.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8297,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI\Scrubs S05E04 My Jiggly Ball.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8303,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI\Scrubs S05E09 My Half-Acre.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8304,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI\Scrubs S05E10 Her Story II.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8305,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI\Scrubs S05E11 My Buddys Booty.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8306,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI\Scrubs S05E12 My Cabbage.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8308,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI\Scrubs S05E14 My Own Personal Hell.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8309,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI\Scrubs S05E15 My Extra Mile.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8310,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI\Scrubs S05E16 My Bright Idea.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8311,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI\Scrubs S05E17 My Chopped Liver.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8314,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI\Scrubs S05E20 My Lunch.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8317,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 5 1080 AI\Scrubs S05E23 My Urologist .mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8319,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 6 1080 AI,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8321,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 6 1080 AI\Scrubs S06E02 My Best Friends Babys Baby and My Babys Baby.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8326,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 6 1080 AI\Scrubs S06E07 His Story IV.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8341,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 6 1080 AI\Scrubs S06E22 My Point of No Return.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8342,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 7 1080 AI,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8346,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 7 1080 AI\Scrubs S07E04 My Identity Crisis.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8349,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 7 1080 AI\Scrubs S07E07 My Bad Too.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8351,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 7 1080 AI\Scrubs S07E09 My Dumb Luck.mkv,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8354,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 8 1080 AI,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8357,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 8 1080 AI\Scrubs 8x03 My Saving Grace.avi,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8374,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 9 1080 AI,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
8376,Scrubs,W:\сериалы\03 Клиника (Scrubs)\Scrubs Season 9 1080 AI\Scrubs 9x02 Our Drunk Friend.avi,Exists on other drives: ['Z:\\сериалы\\12. Клиника (Scrubs) (1–9 сезоны) 2001']
6970,The Man Who Sold His Skin,P:\фильмы\CHelovek.kotoryj.prodal.svoyu.kozhu.2020.WEB-DLRip.avi,"Exists on other drives: ['E:\\фильмы\\77. Человек, который продал свою кожу (The Man Who Sold His Skin, 2020) 2020.mkv']"
8402,The Tudors,O:\Сериалы\11 Тюдоры,Exists on other drives: ['S:\\сериалы\\34. Тюдоры (The Tudors) 2007']
6987,Wag the Dog,P:\фильмы\Mahat.sobakoy_aka_Plutovstvo.1997.DVDRip.XviD-DeMon.avi,"Exists on other drives: ['E:\\фильмы\\74. Плутовство (Wag the Dog, 1997) 1997.avi']"
6991,Петербург. Только по любви,Q:\фильмы\01 Петербург. Только по любви.m4v,Exists on other drives: ['S:\\фильмы\\Peterburg.Tolko.po.lyubvi.(480p).(pk).m4v']
