id,title,disk_name,path
5475,"500 дней лета (500) Days of Summer, 2009",ДИСК 1,S:\фильмыŀ дней лета
5478,"500 дней лета (500) Days of Summer, 2009",ДИСК 1,S:\фильмы\500 дней лета
6270,"500 дней лета (500) Days of Summer, 2009",ДИСК 10,K:\сериалы\500 дней лета
4489,Match Point,ДИСК 1,S:\фильмы\Match Point.avi
8390,Match Point,ДИСК 17,O:\Фильмы\Match Point.avi
4490,Mon.roi.2015.BDRip-ylnian,ДИСК 1,S:\фильмы\Mon.roi.2015.BDRip-ylnian.avi
8391,Mon.roi.2015.BDRip-ylnian,ДИСК 17,O:\Фильмы\Mon.roi.2015.BDRip-ylnian.avi
4503,Любовь.Морковь.1.46.(Logan1995),ДИСК 1,S:\фильмы\Любовь.Морковь.1.46.(Logan1995).avi
6261,Любовь.Морковь.1.46.(Logan1995),ДИСК 10,K:\фильмы\Любовь.Морковь.1.46.(Logan1995).avi
