title,to_delete
"47. Сердцеедки (Heartbreakers, 2001) 2001","['X:\\фильмы\\47. Сердцеедки (Heartbreakers', 'X:\\фильмы\\47. Сердцеедки (Heartbreakers']"
"500 дней лета (500) Days of Summer, 2009","['S:\\фильмыŀ дней лета', 'S:\\фильмы\\500 дней лета']"
Match Point,['S:\\фильмы\\Match Point.avi']
Mon.roi.2015.BDRip-ylnian,['S:\\фильмы\\Mon.roi.2015.BDRip-ylnian.avi']
Любовь.Морковь.1.46.(Logan1995),['S:\\фильмы\\Любовь.Морковь.1.46.(Logan1995).avi']
"Пуаро Агаты Кристи: Раз, два — пряжку застегни (Сезон 4, Эпизод 0)","[""R:\\сериалы\\Agatha Christie's Poirot\\Season 4\\03 One"", ""R:\\сериалы\\Agatha Christie's Poirot\\Season 4\\03 One""]"
